code,link,name
110112012000,http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/11/01/12/110112012.html,杨庄街道
110112013000,http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/11/01/12/110112013.html,潞邑街道
110112104000,http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/11/01/12/110112104.html,宋庄镇
110112105000,http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/11/01/12/110112105.html,张家湾镇
110112106000,http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/11/01/12/110112106.html,漷县镇
110112109000,http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/11/01/12/110112109.html,马驹桥镇
110112110000,http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/11/01/12/110112110.html,西集镇
110112114000,http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/11/01/12/110112114.html,台湖镇
110112117000,http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/11/01/12/110112117.html,永乐店镇
110112119000,http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/11/01/12/110112119.html,潞城镇
110112120000,http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/11/01/12/110112120.html,永顺镇
110112121000,http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/11/01/12/110112121.html,梨园镇
110112209000,http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/11/01/12/110112209.html,于家务回族乡
110113001000,http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/11/01/13/110113001.html,胜利街道
110113002000,http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/11/01/13/110113002.html,光明街道
110113003000,http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/11/01/13/110113003.html,仁和地区
110113004000,http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/11/01/13/110113004.html,后沙峪地区
110113005000,http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/11/01/13/110113005.html,天竺地区
110113006000,http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/11/01/13/110113006.html,杨镇地区
110113007000,http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/11/01/13/110113007.html,牛栏山地区
110113008000,http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/11/01/13/110113008.html,南法信地区
110113009000,http://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2022/11/01/13/110113009.html,马坡地区
